Codigo;Materia
INS082;CÁTEDRA ABIERTA DE INNOVACIÓN Y EMPRENDIMIENTO
ICO505;BRANDING (GESTIÓN DE MARCA)
INS014;CATEDRA ABIERTA DE TURISMO IV
INS093;CATEDRA DE EXTENSIÓN Y CONSTRUCCIÓN SOCIAL
ICO602;DISEÑO DE CANALES DE DISTRIBUCIÓN LOGÍSTICA
INS074;CATEDRA DE GENERO
ICO603;SERVICIOS COMERCIALES DIGITALES
INS094;CATEDRA DE INTERNACIONALIZACIÓN E INTERCULTURALIDAD
INS089;CATEDRA DE LA PAZ (VIRTUAL)
INS0101;CÁTEDRA NÓMADA
CC301;CERRAMIENTOS
ICO701;GESTIÓN DEL TALENTO HUMANO
CC203;CIENCIA DE LOS MATERIALES Y LABORATORIO
ICO702;OPERACIONES ADMINISTRATIVAS COMERCIALES
SST304;CIENCIA, TECNOLOGÍA Y SOCIEDAD
ICO7032;PLANES DE NEGOCIO
INS0138;CIUDAD Y PATRIMONIO NARRATIVAS DE CIUDAD PRESENCIAL
TSG103;COCINA BÁSICA
ICO705;INVESTIGACIÓN DE MERCADOS Y ANÁLISIS DEL ENTORNO
PGC404;COCINA COLOMBIANA I
ICO706;GERENCIA DE MERCADEO
PGC504;COCINA COLOMBIANA II
FAI013;INGENIERÍA ECONÓMICA
TSG503;COCINA INTERNACIONAL
ICO802;SIMULACIÓN DE PROCESOS COMERCIALES
PGC604;COCINA INTERNACIONAL I
ICO803;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS
PGC704;COCINA INTERNACIONAL II
ICO801;MERCADEO INTERNACIONAL
TSG305;COCINA NACIONAL
ICO8042;FINANZAS DE MERCADEO
TSG4062;COCINA NATURAL I
TSG5062;COCINA NATURAL II
PGC6051;COCINA NUTRICIONAL II
PGC7051;COCINA NUTRICIONAL III
PGC304;COCINA REGIONAL
ICO903;ANÁLISIS DE RIESGOS COMERCIALES
TSG403;COCINA REGIONAL
FAI015;EMPRENDIMIENTO E INNOVACIÓN
TSG4063;COCINA REGIONAL COLOMBIANA I (PACÍFICO)
PGC101;MATEMÁTICAS OPERATIVAS
PGC101;MATEMÁTICAS OPERATIVAS
PGC101;MATEMÁTICAS OPERATIVAS
TSG5064;COCINA REGIONAL COLOMBIANA II (ANDINA)
PGC102;INTRODUCCION A LA GASTRONOMIA Y CULINARIA
PGC305;COCINA Y MEDIO AMBIENTE
PGC103;QUÍMICA DE ALIMENTOS
PGC103;QUÍMICA DE ALIMENTOS
PGC103;QUÍMICA DE ALIMENTOS
DAI222;COLOR, AMBIENTACIÓN E IMAGEN
PGC105;TÉCNICAS BÁSICAS DE COCINAS
PGC105;TÉCNICAS BÁSICAS DE COCINAS
PGC105;TÉCNICAS BÁSICAS DE COCINAS
ARQ9024;COMODIDAD AMBIENTAL
PGC104;MATERIAS PRIMAS
PGC104;MATERIAS PRIMAS
PGC104;MATERIAS PRIMAS
NB100;COMPETENCIA LECTORA EN INGLES I
PGC106;HABILIDADES COMUNICATIVAS Y PROTOCOLO
NB101;COMPETENCIA LECTORA EN INGLES II
PGC107;INGLÉS I
INS084;COMPRENSIÓN LECTORA
PGC201;ANTROPOLOGÍA E IDENTIDAD GASTRONÓMICA
